experiment,problem,approach,size,instance_id,run_id,technical_success,failure_type,feasible,reported_objective,recomputed_objective,gurobi_objective,optimality_gap_pct,runtime_seconds,llm_runtime_seconds,solver_runtime_seconds,debug_iterations,final_solution,source_file
main,SMTWTP,Direct,10,smtwtp_n10_inst0,1,True,,True,1221,6647.0,2895.0,129.6027633851468,,,,,"[4, 6, 5, 9, 2, 0, 1, 3, 8, 7]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst0_run1.json
main,SMTWTP,Direct,10,smtwtp_n10_inst0,10,True,,True,4469,4469.0,2895.0,54.36960276338515,,,,,"[7, 8, 3, 4, 5, 6, 0, 1, 2, 9]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst0_run10.json
main,SMTWTP,Direct,10,smtwtp_n10_inst0,2,True,,True,1161,4469.0,2895.0,54.36960276338515,,,,,"[7, 8, 3, 4, 5, 6, 0, 1, 2, 9]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst0_run2.json
main,SMTWTP,Direct,10,smtwtp_n10_inst0,3,True,,True,1381,6647.0,2895.0,129.6027633851468,,,,,"[4, 6, 5, 9, 2, 0, 1, 3, 8, 7]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst0_run3.json
main,SMTWTP,Direct,10,smtwtp_n10_inst0,4,True,,True,1221,6647.0,2895.0,129.6027633851468,,,,,"[4, 6, 5, 9, 2, 0, 1, 3, 8, 7]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst0_run4.json
main,SMTWTP,Direct,10,smtwtp_n10_inst0,5,True,,True,1381,6647.0,2895.0,129.6027633851468,,,,,"[4, 6, 5, 9, 2, 0, 1, 3, 8, 7]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst0_run5.json
main,SMTWTP,Direct,10,smtwtp_n10_inst0,6,True,,True,1221,6647.0,2895.0,129.6027633851468,,,,,"[4, 6, 5, 9, 2, 0, 1, 3, 8, 7]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst0_run6.json
main,SMTWTP,Direct,10,smtwtp_n10_inst0,7,True,,True,1161,6647.0,2895.0,129.6027633851468,,,,,"[4, 6, 5, 9, 2, 0, 1, 3, 8, 7]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst0_run7.json
main,SMTWTP,Direct,10,smtwtp_n10_inst0,8,True,,True,1581,6647.0,2895.0,129.6027633851468,,,,,"[4, 6, 5, 9, 2, 0, 1, 3, 8, 7]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst0_run8.json
main,SMTWTP,Direct,10,smtwtp_n10_inst0,9,True,,True,1161,6934.0,2895.0,139.51640759930913,,,,,"[6, 4, 5, 9, 2, 0, 1, 3, 8, 7]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst0_run9.json
main,SMTWTP,Direct,10,smtwtp_n10_inst1,1,True,,True,1221,3325.0,2273.0,46.282446106467226,,,,,"[5, 4, 2, 8, 9, 6, 7, 1, 3, 0]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst1_run1.json
main,SMTWTP,Direct,10,smtwtp_n10_inst1,10,True,,True,3153,3153.0,2273.0,38.715354157501096,,,,,"[4, 0, 2, 8, 1, 3, 5, 7, 6, 9]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst1_run10.json
main,SMTWTP,Direct,10,smtwtp_n10_inst1,2,True,,True,1221,3325.0,2273.0,46.282446106467226,,,,,"[5, 4, 2, 8, 9, 6, 7, 1, 3, 0]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst1_run2.json
main,SMTWTP,Direct,10,smtwtp_n10_inst1,3,True,,True,3153,3153.0,2273.0,38.715354157501096,,,,,"[4, 0, 2, 8, 1, 3, 5, 7, 6, 9]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst1_run3.json
main,SMTWTP,Direct,10,smtwtp_n10_inst1,4,True,,True,1165,3325.0,2273.0,46.282446106467226,,,,,"[5, 4, 2, 8, 9, 6, 7, 1, 3, 0]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst1_run4.json
main,SMTWTP,Direct,10,smtwtp_n10_inst1,5,True,,True,1221,3325.0,2273.0,46.282446106467226,,,,,"[5, 4, 2, 8, 9, 6, 7, 1, 3, 0]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst1_run5.json
main,SMTWTP,Direct,10,smtwtp_n10_inst1,6,True,,True,1221,3323.0,2273.0,46.19445666520018,,,,,"[4, 8, 2, 5, 9, 6, 7, 3, 1, 0]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst1_run6.json
main,SMTWTP,Direct,10,smtwtp_n10_inst1,7,True,,True,1221,3325.0,2273.0,46.282446106467226,,,,,"[5, 4, 2, 8, 9, 6, 7, 1, 3, 0]",data/results/direct_smtwtp_final/smtwtp/smtwtp_n10_inst1_run7.json
