experiment,problem,approach,size,instance_id,n_runs,expected_runs,technical_success_rate,conditional_feasibility_rate,overall_feasible_rate,optimal_solution_rate,consistency_rate,n_distinct_feasible_values,instance_gap_count,instance_gap_mean_pct,instance_gap_median_pct,instance_gap_std_pct,instance_gap_min_pct,instance_gap_max_pct,instance_gap_q25_pct,instance_gap_q75_pct,instance_gap_iqr_pct,instance_runtime_count,instance_runtime_mean_seconds,instance_runtime_median_seconds,instance_runtime_std_seconds,instance_runtime_min_seconds,instance_runtime_max_seconds,instance_debug_iterations_mean,instance_debug_iterations_median
codex,SICLSP,Codex,5,siclsp_T5_inst0,1,1,1.0,1.0,1.0,1.0,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,0.0
codex,SICLSP,Codex,10,siclsp_T10_inst0,1,1,1.0,1.0,1.0,1.0,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,0.0
codex,SICLSP,Codex,15,siclsp_T15_inst0,1,1,1.0,1.0,1.0,1.0,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,0.0
codex,SICLSP,Codex,20,siclsp_T20_inst0,1,1,1.0,1.0,1.0,1.0,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,0.0
codex,SICLSP,Codex,25,siclsp_T25_inst0,1,1,1.0,1.0,1.0,1.0,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,0.0
codex,SMTWTP,Codex,5,smtwtp_n5_inst0,1,1,1.0,1.0,1.0,1.0,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,0.0
codex,SMTWTP,Codex,10,smtwtp_n10_inst0,1,1,1.0,1.0,1.0,1.0,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,0.0
codex,SMTWTP,Codex,15,smtwtp_n15_inst0,1,1,1.0,1.0,1.0,1.0,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,0.0
codex,SMTWTP,Codex,20,smtwtp_n20_inst0,1,1,1.0,1.0,1.0,1.0,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,0.0
codex,SMTWTP,Codex,25,smtwtp_n25_inst0,1,1,1.0,1.0,1.0,1.0,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0,0.0
cot,SICLSP,CoT,5,siclsp_T5_inst0,10,10,1.0,0.2,0.2,0.1,0.1,10,2,25.370121130551816,25.370121130551816,35.87876938187462,0.0,50.74024226110363,12.685060565275908,38.05518169582773,25.37012113055182,0,,,,,,,
cot,SICLSP,CoT,5,siclsp_T5_inst1,10,10,1.0,0.1,0.1,0.0,0.1,10,1,14.085365853658535,14.085365853658535,0.0,14.085365853658535,14.085365853658535,14.085365853658535,14.085365853658535,0.0,0,,,,,,,
cot,SICLSP,CoT,5,siclsp_T5_inst2,10,10,1.0,0.2,0.2,0.0,0.1,10,2,11.128650355169691,11.128650355169691,1.5626669197492762,10.023677979479084,12.233622730860299,10.576164167324388,11.681136543014995,1.1049723756906076,0,,,,,,,
cot,SICLSP,CoT,5,siclsp_T5_inst3,10,10,1.0,1.0,1.0,0.0,1.0,1,10,10.371702637889687,10.371702637889687,0.0,10.371702637889687,10.371702637889687,10.371702637889687,10.371702637889687,0.0,0,,,,,,,
cot,SICLSP,CoT,5,siclsp_T5_inst4,10,10,1.0,1.0,1.0,0.0,1.0,1,10,21.804511278195488,21.804511278195488,0.0,21.804511278195488,21.804511278195488,21.804511278195488,21.804511278195488,0.0,0,,,,,,,
cot,SICLSP,CoT,10,siclsp_T10_inst0,10,10,1.0,0.0,0.0,0.0,0.1,10,0,,,,,,,,,0,,,,,,,
cot,SICLSP,CoT,10,siclsp_T10_inst1,10,10,0.6,0.0,0.0,0.0,0.16666666666666666,6,0,,,,,,,,,0,,,,,,,
cot,SICLSP,CoT,10,siclsp_T10_inst2,10,10,0.9,0.2222222222222222,0.2,0.0,0.2222222222222222,8,2,21.252446183953033,21.252446183953033,0.0,21.252446183953033,21.252446183953033,21.252446183953033,21.252446183953033,0.0,0,,,,,,,
cot,SICLSP,CoT,10,siclsp_T10_inst3,10,10,0.9,0.0,0.0,0.0,0.1111111111111111,9,0,,,,,,,,,0,,,,,,,
cot,SICLSP,CoT,10,siclsp_T10_inst4,10,10,1.0,0.0,0.0,0.0,0.1,10,0,,,,,,,,,0,,,,,,,
cot,SICLSP,CoT,15,siclsp_T15_inst0,10,10,0.8,0.0,0.0,0.0,0.125,8,0,,,,,,,,,0,,,,,,,
cot,SICLSP,CoT,15,siclsp_T15_inst1,10,10,1.0,0.0,0.0,0.0,0.1,10,0,,,,,,,,,0,,,,,,,
cot,SICLSP,CoT,15,siclsp_T15_inst2,10,10,0.6,0.0,0.0,0.0,0.16666666666666666,6,0,,,,,,,,,0,,,,,,,
cot,SICLSP,CoT,15,siclsp_T15_inst3,10,10,1.0,0.0,0.0,0.0,0.1,10,0,,,,,,,,,0,,,,,,,
cot,SICLSP,CoT,15,siclsp_T15_inst4,10,10,0.5,0.0,0.0,0.0,0.2,5,0,,,,,,,,,0,,,,,,,
cot,SICLSP,CoT,20,siclsp_T20_inst0,10,10,0.6,0.0,0.0,0.0,0.16666666666666666,6,0,,,,,,,,,0,,,,,,,
cot,SICLSP,CoT,20,siclsp_T20_inst1,10,10,1.0,0.1,0.1,0.0,0.1,10,1,55.39996499212323,55.39996499212323,0.0,55.39996499212323,55.39996499212323,55.39996499212323,55.39996499212323,0.0,0,,,,,,,
cot,SICLSP,CoT,20,siclsp_T20_inst2,10,10,1.0,0.2,0.2,0.0,0.1,10,2,29.454722492697176,29.454722492697176,1.8314547594510393,28.15968841285297,30.749756572541383,28.807205452775072,30.10223953261928,1.295034079844207,0,,,,,,,
cot,SICLSP,CoT,20,siclsp_T20_inst3,10,10,1.0,0.0,0.0,0.0,0.1,10,0,,,,,,,,,0,,,,,,,
cot,SICLSP,CoT,20,siclsp_T20_inst4,10,10,1.0,0.0,0.0,0.0,0.1,10,0,,,,,,,,,0,,,,,,,
cot,SICLSP,CoT,25,siclsp_T25_inst0,10,10,1.0,0.3,0.3,0.0,0.2,9,3,71.55117453778628,71.45799617478299,0.1613896588877856,71.45799617478299,71.73753126379285,71.45799617478299,71.59776371928791,0.13976754450492024,0,,,,,,,
cot,SICLSP,CoT,25,siclsp_T25_inst1,10,10,1.0,0.0,0.0,0.0,0.1,10,0,,,,,,,,,0,,,,,,,
cot,SICLSP,CoT,25,siclsp_T25_inst2,10,10,1.0,0.0,0.0,0.0,0.1,10,0,,,,,,,,,0,,,,,,,
cot,SICLSP,CoT,25,siclsp_T25_inst3,10,10,1.0,0.0,0.0,0.0,0.1,10,0,,,,,,,,,0,,,,,,,
cot,SICLSP,CoT,25,siclsp_T25_inst4,10,10,1.0,0.4,0.4,0.0,0.2,8,4,65.78648495173198,65.78648495173198,28.785550048182365,40.85746734809767,90.71550255536627,40.85746734809767,90.71550255536627,49.8580352072686,0,,,,,,,
cot,SMTWTP,CoT,5,smtwtp_n5_inst0,10,10,1.0,1.0,1.0,0.0,0.9,2,10,44.603174603174594,48.57142857142857,12.548720873684045,8.88888888888889,48.57142857142857,48.57142857142857,48.57142857142857,0.0,0,,,,,,,
cot,SMTWTP,CoT,5,smtwtp_n5_inst1,10,10,1.0,1.0,1.0,0.0,1.0,1,10,15.963511972633977,15.96351197263398,1.8724445165742407e-15,15.96351197263398,15.96351197263398,15.96351197263398,15.96351197263398,0.0,0,,,,,,,
cot,SMTWTP,CoT,5,smtwtp_n5_inst2,10,10,1.0,1.0,1.0,0.9,0.9,2,10,0.17509727626459143,0.0,0.5537062050878485,0.0,1.7509727626459144,0.0,0.0,0.0,0,,,,,,,
cot,SMTWTP,CoT,5,smtwtp_n5_inst3,10,10,1.0,1.0,1.0,0.0,1.0,1,10,80.21978021978022,80.21978021978022,0.0,80.21978021978022,80.21978021978022,80.21978021978022,80.21978021978022,0.0,0,,,,,,,
cot,SMTWTP,CoT,5,smtwtp_n5_inst4,10,10,1.0,1.0,1.0,1.0,1.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,
cot,SMTWTP,CoT,10,smtwtp_n10_inst0,10,10,1.0,1.0,1.0,0.0,0.7,4,10,59.63730569948187,54.36960276338515,21.74562528320518,46.63212435233161,120.96718480138169,54.36960276338515,54.36960276338515,0.0,0,,,,,,,
cot,SMTWTP,CoT,10,smtwtp_n10_inst1,10,10,1.0,1.0,1.0,0.0,0.3,8,10,33.22921249450066,35.19577650681918,8.079393511927515,16.542014958205016,45.75450945886493,29.41047074351078,36.61460624725033,7.2041355037395505,0,,,,,,,
cot,SMTWTP,CoT,10,smtwtp_n10_inst2,10,10,1.0,1.0,1.0,0.0,0.6,3,10,81.9106699751861,128.53598014888337,60.942291523579236,3.722084367245657,128.53598014888337,11.972704714640198,128.53598014888337,116.56327543424317,0,,,,,,,
cot,SMTWTP,CoT,10,smtwtp_n10_inst3,10,10,1.0,1.0,1.0,0.0,0.9,2,10,97.17289719626169,95.56074766355141,5.098064452140613,95.56074766355141,111.68224299065422,95.56074766355141,95.56074766355141,0.0,0,,,,,,,
cot,SMTWTP,CoT,10,smtwtp_n10_inst4,10,10,1.0,1.0,1.0,0.0,0.6,4,10,33.28686327077748,40.48257372654155,12.122806742993744,12.225201072386058,40.64343163538874,28.780160857908847,40.48257372654155,11.702412868632706,0,,,,,,,
cot,SMTWTP,CoT,15,smtwtp_n15_inst0,10,10,1.0,1.0,1.0,0.0,0.3,7,10,199.03343465045594,225.98784194528878,57.85964920625588,78.48024316109422,250.0303951367781,158.54103343465044,244.7720364741641,86.23100303951367,0,,,,,,,
cot,SMTWTP,CoT,15,smtwtp_n15_inst1,10,10,1.0,1.0,1.0,0.0,0.4,6,10,97.84074074074074,104.0,21.516581583423573,57.18518518518518,134.1851851851852,90.05555555555556,106.41666666666666,16.3611111111111,0,,,,,,,
cot,SMTWTP,CoT,15,smtwtp_n15_inst2,10,10,1.0,1.0,1.0,0.0,0.8,3,10,96.0814571211738,101.64432076903618,26.818859410990658,22.66632937009866,124.99367568934987,101.64432076903618,101.64432076903618,0.0,0,,,,,,,
cot,SMTWTP,CoT,15,smtwtp_n15_inst3,10,10,1.0,1.0,1.0,0.0,0.3,7,10,138.56518282988873,118.28298887122418,89.46178479137672,55.4054054054054,259.14149443561206,55.9220985691574,219.31637519872814,163.39427662957075,0,,,,,,,
cot,SMTWTP,CoT,15,smtwtp_n15_inst4,10,10,1.0,1.0,1.0,0.0,0.2,8,10,84.8678861788618,81.57520325203251,11.97778424197367,67.58130081300813,100.34552845528455,76.63617886178862,97.0071138211382,20.370934959349583,0,,,,,,,
cot,SMTWTP,CoT,20,smtwtp_n20_inst0,10,10,1.0,1.0,1.0,0.0,0.3,7,10,93.15138592750533,81.19402985074626,52.98273912225708,58.57142857142858,240.8315565031983,68.20362473347548,87.01492537313433,18.811300639658853,0,,,,,,,
cot,SMTWTP,CoT,20,smtwtp_n20_inst1,10,10,1.0,1.0,1.0,0.0,0.1,10,10,77.38899005462952,66.47989914553858,51.028916522254676,27.945090348788348,147.8078162207592,31.31390951113601,119.50903487883457,88.19512536769855,0,,,,,,,
cot,SMTWTP,CoT,20,smtwtp_n20_inst2,10,10,1.0,1.0,1.0,0.0,0.3,7,10,70.22325891369543,63.59546817727424,13.942416911940885,63.11229590136621,99.26691102965678,63.495501499500165,64.17860713095635,0.6831056314561863,0,,,,,,,
cot,SMTWTP,CoT,20,smtwtp_n20_inst3,10,10,0.9,1.0,0.9,0.0,0.5555555555555556,4,9,69.51601632064201,72.10387502536011,9.15633206992825,45.40474741326841,74.78190302292555,72.10387502536011,72.10387502536011,0.0,0,,,,,,,
cot,SMTWTP,CoT,20,smtwtp_n20_inst4,10,10,1.0,1.0,1.0,0.0,0.3,7,10,127.12917594654786,153.04008908685967,55.377352537103526,37.906458797327396,177.95100222717147,72.8118040089087,175.38975501113583,102.57795100222714,0,,,,,,,
cot,SMTWTP,CoT,25,smtwtp_n25_inst0,10,10,1.0,1.0,1.0,0.0,0.3,8,10,163.74763948497852,181.13304721030045,70.2261486654479,72.53218884120172,317.6824034334764,114.99570815450645,181.20171673819743,66.20600858369099,0,,,,,,,
cot,SMTWTP,CoT,25,smtwtp_n25_inst1,10,10,1.0,1.0,1.0,0.0,0.2,8,10,69.06162855549358,68.83714445064139,4.6349725697740505,58.03123257110987,75.3346346904629,68.79531511433352,71.62576687116564,2.830451756832119,0,,,,,,,
cot,SMTWTP,CoT,25,smtwtp_n25_inst2,10,10,1.0,0.9,0.9,0.0,0.2,8,9,136.49478669813055,123.18120198825125,41.48271525006186,104.48862780539238,245.12727820454887,123.15107696942312,130.53170658231662,7.3806296128935,0,,,,,,,
