problem,size,expected_runs,observed_runs,technical_success_count,technical_failure_count,feasible_count,infeasible_count,technical_success_rate,conditional_feasibility_rate,overall_feasible_solution_rate,optimal_solution_count,optimal_solution_rate,gap_count,gap_mean_pct,gap_median_pct,gap_std_pct,gap_min_pct,gap_max_pct,gap_q25_pct,gap_q75_pct,gap_iqr_pct,objective_mean,objective_median,objective_std,runtime_count,runtime_mean_seconds,runtime_median_seconds,runtime_std_seconds,runtime_min_seconds,runtime_max_seconds,instance_consistency_mean,instance_consistency_median,instance_consistency_std,n_instances_observed
SICLSP,5,50,50,50,0,25,25,1.0,0.5,0.5,1,0.02,25,16.353801919438133,12.233622730860299,9.502244707822936,0.0,50.74024226110363,10.371702637889687,21.804511278195488,11.432808640305801,1581.6,1458.0,280.3566181372099,0,,,,,,0.45999999999999996,0.1,0.4929503017546495,5
SICLSP,10,50,50,44,6,2,42,0.88,0.045454545454545456,0.04,0,0.0,2,21.252446183953033,21.252446183953033,0.0,21.252446183953033,21.252446183953033,21.252446183953033,21.252446183953033,0.0,3098.0,3098.0,0.0,0,,,,,,0.13999999999999999,0.1111111111111111,0.05363341504954297,5
SICLSP,15,50,50,39,11,0,39,0.78,0.0,0.0,0,0.0,0,,,,,,,,,,,,0,,,,,,0.13833333333333334,0.125,0.04393808775488023,5
SICLSP,20,50,50,46,4,3,43,0.92,0.06521739130434782,0.06,0,0.0,3,38.10313665917253,30.749756572541383,15.035368836601002,28.15968841285297,55.39996499212323,29.454722492697176,43.07486078233231,13.620138289635133,7391.0,6714.0,1289.4956378367474,0,,,,,,0.11333333333333333,0.1,0.02981423969999719,5
SICLSP,25,50,50,50,0,7,43,1.0,0.14,0.14,0,0.0,7,68.25706620289809,71.45799617478299,20.586582620781677,40.85746734809767,90.71550255536627,56.15773176144033,81.22651690957956,25.068785148139227,11670.42857142857,11654.0,1433.8130813955327,0,,,,,,0.13999999999999999,0.1,0.05477225575051661,5
SMTWTP,5,50,50,50,0,50,0,1.0,1.0,1.0,19,0.38,50,28.19231281437068,15.96351197263398,31.452872018195173,0.0,80.21978021978022,0.0,48.57142857142857,48.57142857142857,870.54,936.0,423.56293462936145,0,,,,,,0.96,1.0,0.0547722557505166,5
SMTWTP,10,50,50,50,0,50,0,1.0,1.0,1.0,0,0.0,50,61.04738972724155,47.40932642487047,38.516820816456466,3.722084367245657,128.53598014888337,35.57797381932034,95.56074766355141,59.98277384423107,2511.3,2620.0,1359.0267263218714,0,,,,,,0.62,0.6,0.216794833886788,5
SMTWTP,15,50,50,50,0,50,0,1.0,1.0,1.0,0,0.0,50,123.27774030422417,101.64432076903618,64.27583316296885,22.66632937009866,259.14149443561206,77.98896322929794,158.54103343465044,80.5520702053525,6621.94,6040.5,1985.6118720763664,0,,,,,,0.4,0.3,0.23452078799117151,5
SMTWTP,20,50,50,49,1,49,0,0.98,1.0,0.98,0,0.0,49,87.8484133736645,72.10387502536011,46.019995848645266,27.945090348788348,240.8315565031983,63.59546817727424,98.0529485922398,34.45748041496556,10134.163265306122,9311.0,2672.0939693660566,0,,,,,,0.3111111111111111,0.3,0.1617802197617893,5
SMTWTP,25,50,50,49,1,48,1,0.98,0.9795918367346939,0.96,0,0.0,48,108.11804902141061,95.84946569614372,52.13617602027291,48.33110814419226,317.6824034334764,71.62576687116564,123.15860822413015,51.53284135296451,13515.645833333334,12646.0,2777.2529400783355,0,,,,,,0.3266666666666666,0.3,0.16397831834998455,5
