problem,approach,size,expected_runs,observed_runs,technical_success_count,technical_failure_count,feasible_count,infeasible_count,technical_success_rate,conditional_feasibility_rate,overall_feasible_solution_rate,optimal_solution_count,optimal_solution_rate,gap_count,gap_mean_pct,gap_median_pct,gap_std_pct,gap_min_pct,gap_max_pct,gap_q25_pct,gap_q75_pct,gap_iqr_pct,objective_mean,objective_median,objective_std,runtime_count,runtime_mean_seconds,runtime_median_seconds,runtime_std_seconds,runtime_min_seconds,runtime_max_seconds,debug_iterations_count,debug_iterations_mean,debug_iterations_median,debug_iterations_std,first_attempt_success_rate,debug_exhaustion_count,instance_consistency_mean,instance_consistency_median,instance_consistency_std,n_instances_observed
SICLSP,Code-Based,5,50,50,50,0,50,0,1.0,1.0,1.0,47,0.94,50,1.2193808882907133,0.0,4.875449335100454,0.0,20.323014804845222,0.0,0.0,0.0,1312.06,1267.0,328.45335828916194,0,,,,,,50.0,0.94,1.0,0.23989793748209526,0.06,,0.9400000000000001,1.0,0.1341640786499874,5
SICLSP,Code-Based,10,50,50,50,0,50,0,1.0,1.0,1.0,50,1.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2807.0,2756.0,199.68648897096423,0,,,,,,50.0,0.34,0.0,0.47851812069840644,0.66,,1.0,1.0,0.0,5
SICLSP,Code-Based,15,50,50,50,0,50,0,1.0,1.0,1.0,48,0.96,50,0.08337001577344924,0.0,0.5310589601479367,0.0,3.7393162393162394,0.0,0.0,0.0,4660.14,4651.0,269.8730623754775,0,,,,,,50.0,0.08,0.0,0.27404751561786966,0.92,,0.96,1.0,0.0547722557505166,5
SICLSP,Code-Based,20,50,50,50,0,50,0,1.0,1.0,1.0,50,1.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5616.0,5713.0,453.2476909899874,0,,,,,,50.0,0.5,0.5,0.5050762722761054,0.5,,1.0,1.0,0.0,5
SICLSP,Code-Based,25,50,50,47,3,47,0,0.94,1.0,0.94,46,0.92,47,0.010873899017724455,0.0,0.07454769582515905,0.0,0.5110732538330494,0.0,0.0,0.0,7190.808510638298,7044.0,567.3563652091917,0,,,,,,50.0,0.66,0.0,1.2055991820481224,0.6170212765957447,3.0,0.9777777777777779,1.0,0.04969039949999535,5
SICLSP,Direct,5,50,50,49,1,20,29,0.98,0.40816326530612246,0.4,2,0.04,20,15.253909654231501,16.088106958042587,9.19316220168029,0.0,33.751044277360066,10.371702637889687,22.138680033416875,11.766977395527189,1632.3,1634.5,174.03602167972372,0,,,,,,,,,,,,0.32222222222222224,0.1111111111111111,0.30133448049601375,5
SICLSP,Direct,10,50,50,49,1,7,42,0.98,0.14285714285714285,0.14,0,0.0,7,17.241379310344826,15.912685858905409,1.657171889112155,15.912685858905409,19.01297057893072,15.912685858905409,19.01297057893072,3.1002847200253107,3706.0,3664.0,52.38320341483518,0,,,,,,,,,,,,0.1622222222222222,0.1,0.1330088644590704,5
SICLSP,Direct,15,50,50,50,0,0,50,1.0,0.0,0.0,0,0.0,0,,,,,,,,,,,,0,,,,,,,,,,,,0.1,0.1,0.0,5
SICLSP,Direct,20,50,50,50,0,0,50,1.0,0.0,0.0,0,0.0,0,,,,,,,,,,,,0,,,,,,,,,,,,0.1,0.1,0.0,5
SICLSP,Direct,25,50,50,50,0,3,47,1.0,0.06,0.06,0,0.0,3,40.85746734809767,40.85746734809767,0.0,40.85746734809767,40.85746734809767,40.85746734809767,40.85746734809767,0.0,9922.0,9922.0,0.0,0,,,,,,,,,,,,0.13999999999999999,0.1,0.08944271909999157,5
