problem,approach,size,expected_runs,observed_runs,technical_success_count,technical_failure_count,feasible_count,infeasible_count,technical_success_rate,conditional_feasibility_rate,overall_feasible_solution_rate,optimal_solution_count,optimal_solution_rate,gap_count,gap_mean_pct,gap_median_pct,gap_std_pct,gap_min_pct,gap_max_pct,gap_q25_pct,gap_q75_pct,gap_iqr_pct,objective_mean,objective_median,objective_std,runtime_count,runtime_mean_seconds,runtime_median_seconds,runtime_std_seconds,runtime_min_seconds,runtime_max_seconds,debug_iterations_count,debug_iterations_mean,debug_iterations_median,debug_iterations_std,first_attempt_success_rate,debug_exhaustion_count,instance_consistency_mean,instance_consistency_median,instance_consistency_std,n_instances_observed
SMTWTP,Code-Based,5,50,50,42,8,42,0,0.84,1.0,0.84,14,0.28,42,51.09542329180528,44.74708171206226,43.795715269097734,0.0,132.2690992018244,0.0,92.47342331581461,92.47342331581461,1190.404761904762,1085.0,763.4589790288003,0,,,,,,50.0,1.38,1.0,1.794435844492636,0.5238095238095238,8.0,0.615,0.7,0.30186917696247156,5
SMTWTP,Code-Based,10,50,50,49,1,49,0,0.98,1.0,0.98,7,0.14,49,174.76080386264778,129.16890080428956,186.17320184634002,0.0,651.8610421836228,68.23821339950372,148.31099195710456,80.07277855760084,3824.5714285714284,4631.0,1753.5889151489678,0,,,,,,50.0,0.7,1.0,0.9091372900969897,0.4897959183673469,1.0,0.5266666666666666,0.5,0.1831817555204545,5
SMTWTP,Code-Based,15,50,50,46,4,46,0,0.92,1.0,0.92,0,0.0,46,106.88313117428117,19.814814814814817,182.52407350707605,7.538578294965849,681.1550151975684,8.085106382978724,131.78528528528528,123.70017890230656,5624.021739130435,4251.0,3775.5261325138104,0,,,,,,50.0,0.86,1.0,1.3402710660953046,0.5217391304347826,4.0,0.746984126984127,0.7777777777777778,0.09963147008446546,5
SMTWTP,Code-Based,20,50,50,46,4,44,2,0.92,0.9565217391304348,0.88,1,0.02,44,262.3626910844662,322.24258580473173,173.34682926168983,0.0,459.6436525612472,35.382430513288696,387.1592980023006,351.7768674890119,19293.363636363636,22298.0,8853.698641366518,0,,,,,,50.0,1.02,0.0,1.6097914683053118,0.5869565217391305,4.0,0.58,0.5,0.19235384061671346,5
SMTWTP,Code-Based,25,50,50,42,8,40,2,0.84,0.9523809523809523,0.8,0,0.0,40,390.71047829960787,397.7510729613734,207.9696185214541,1.3385387618516453,707.2096128170895,274.10562180579217,508.552539364352,234.44691755855985,32117.425,28994.0,14368.827045409706,0,,,,,,50.0,1.26,0.0,1.9358065344386848,0.7380952380952381,8.0,0.7595238095238095,0.75,0.2097476557988831,5
SMTWTP,Direct,5,50,50,50,0,50,0,1.0,1.0,1.0,17,0.34,50,31.734287847971828,15.96351197263398,38.650935794273245,0.0,102.71739130434783,0.0,48.57142857142857,48.57142857142857,956.6,1017.0,523.1515954641968,0,,,,,,,,,,,,0.58,0.5,0.16431676725154984,5
SMTWTP,Direct,10,50,50,50,0,50,0,1.0,1.0,1.0,0,0.0,50,93.40066822656391,124.98659517426273,65.6701783079196,3.722084367245657,285.2803738317757,41.91054446120621,129.6027633851468,87.6922189239406,3278.18,3324.0,1986.9995808468893,0,,,,,,,,,,,,0.5999999999999999,0.6,0.223606797749979,5
SMTWTP,Direct,15,50,50,46,4,46,0,0.92,1.0,0.92,0,0.0,46,104.50091328190078,101.64432076903618,40.73733093372573,55.4054054054054,182.43161094224925,76.63617886178862,106.93518518518518,30.299006323396554,5896.217391304348,5508.0,1828.2844893268236,0,,,,,,,,,,,,0.6066666666666667,0.6,0.24540216425741285,5
SMTWTP,Direct,20,50,50,49,1,49,0,0.98,1.0,0.98,0,0.0,49,131.4715480286142,126.06807676145118,86.47952024106242,30.452444319932763,313.1130063965885,64.07864045318227,146.0988934024373,82.02025294925504,12372.69387755102,10906.0,4261.281943285385,0,,,,,,,,,,,,0.4066666666666666,0.3333333333333333,0.16898389140848766,5
SMTWTP,Direct,25,50,50,49,1,49,0,0.98,1.0,0.98,0,0.0,49,154.72524751791187,123.15107696942312,83.48089122550921,59.53708867819297,314.30042918454933,95.84946569614372,244.4296098501706,148.58014415402687,16519.285714285714,14815.0,4858.132357192422,0,,,,,,,,,,,,0.3088888888888889,0.3,0.08727705282957991,5
